Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
PERSPECTIVE THERAPEUTICS INC,CATX,46489V302,BS096W6,0.100314,-,1919745.000,USD,,,,
MIMEDX GROUP INC,MDXG,602496101,B1Z3TW5,0.092161,-,2557385.000,USD,,,,
CONTRA METSERA INC,-,592CVR013,-,0.084467,-,1530714.000,USD,,,,
REPLIMUNE GROUP INC,REPL,76029N106,BDDVW37,0.051561,-,2461561.000,USD,,,,
DAMORA THERAPEUTICS INC,DMRA,36322Q206,BSY4V44,0.031735,-,105072.000,USD,,,,
CONTRA AKERO THERAPEUT,-,009CVR044,-,0.014889,-,2033975.000,USD,,,,
CONTRA INHIBRX INC,-,457CVR017,-,0.012049,-,1645973.000,USD,,,,
CONTRA MIRATI THERAPEU,-,604CVR027,-,0.010796,-,1369552.000,USD,,,,
CONTRA VERVE THERAPEUT,-,925CVR011,-,0.006387,-,900273.000,USD,,,,
CONTRA BLUEPRINT MEDIC,-,096CVR048,-,0.003919,-,756469.000,USD,,,,
OMNIAB INC   12.5 EARNOUT,2200963D,68218J202,BP0VHM8,0.000000,-,161959.000,USD,,,,
OMNIAB INC   15.00 EARNOUT,2200964D,68218J301,BP0VHL7,0.000000,-,161959.000,USD,,,,
US DOLLAR,-,999USDZ92,-,-0.092135,-,-8181386.070,USD,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
