date,days,rate
2023-03-02,60.0,4.347424
2023-03-03,30.0,4.188674
2023-03-03,60.0,4.362727
2023-03-06,30.0,4.204747
2023-03-06,60.0,4.379013
2023-03-07,30.0,4.220362
2023-03-07,60.0,4.395501
2023-03-08,30.0,4.237532
2023-03-08,60.0,4.413672
2023-03-09,30.0,4.25464
2023-03-09,60.0,4.431675
2023-03-10,30.0,4.26733
2023-03-10,60.0,4.44496
2023-03-13,30.0,4.277487
2023-03-13,60.0,4.453038
2023-03-14,30.0,4.291964
2023-03-14,60.0,4.464237
2023-03-15,30.0,4.302866
2023-03-15,60.0,4.471072
2023-03-16,30.0,4.312725
2023-03-16,60.0,4.476811
2023-03-17,30.0,4.315783
2023-03-17,60.0,4.475938
2023-03-20,30.0,4.322898
2023-03-20,60.0,4.478422
2023-03-21,30.0,4.329603
2023-03-21,60.0,4.481389
2023-03-22,30.0,4.336059
2023-03-22,60.0,4.484296
2023-03-23,30.0,4.340783
2023-03-23,60.0,4.485306
2023-03-24,30.0,4.345215
2023-03-24,60.0,4.486106
2023-03-27,30.0,4.353501
2023-03-27,60.0,4.490932
2023-03-28,30.0,4.363522
2023-03-28,60.0,4.497738
2023-03-29,30.0,4.374973
2023-03-29,60.0,4.506209
2023-03-30,30.0,4.387609
2023-03-30,60.0,4.516074
2023-03-31,30.0,4.399936
2023-03-31,60.0,4.525742
2023-04-03,30.0,4.411035
2023-04-03,60.0,4.534632
2023-04-04,30.0,4.422441
2023-04-04,60.0,4.543659
2023-04-05,30.0,4.433821
2023-04-05,60.0,4.552522
2023-04-06,30.0,4.440293
2023-04-06,60.0,4.557133
2023-04-10,30.0,4.450428
2023-04-10,60.0,4.565398
2023-04-11,30.0,4.461893
2023-04-11,60.0,4.575076
2023-04-12,30.0,4.482129
2023-04-12,60.0,4.592555
2023-04-13,30.0,4.498852
2023-04-13,60.0,4.607049
2023-04-14,30.0,4.509736
2023-04-14,60.0,4.616773
2023-04-17,30.0,4.520076
2023-04-17,60.0,4.626397
2023-04-18,30.0,4.529587
2023-04-18,60.0,4.635691
2023-04-19,30.0,4.538238
2023-04-19,60.0,4.644529
2023-04-20,30.0,4.546992
2023-04-20,60.0,4.653433
2023-04-21,30.0,4.551755
2023-04-21,60.0,4.658824
2023-04-24,30.0,4.557732
2023-04-24,60.0,4.665226
2023-04-25,30.0,4.561816
2023-04-25,60.0,4.669387
2023-04-26,30.0,4.566754
2023-04-26,60.0,4.674132
2023-04-27,30.0,4.574786
2023-04-27,60.0,4.681685
2023-04-28,30.0,4.580336
2023-04-28,60.0,4.687256
2023-05-01,30.0,4.587103
2023-05-01,60.0,4.694088
2023-05-02,30.0,4.5922
2023-05-02,60.0,4.699194
2023-05-03,30.0,4.600395
2023-05-03,60.0,4.70656
2023-05-04,30.0,4.607487
2023-05-04,60.0,4.712272
2023-05-05,30.0,4.616215
2023-05-05,60.0,4.717593
2023-05-08,30.0,4.62384
2023-05-08,60.0,4.722918
2023-05-09,30.0,4.63294
2023-05-09,60.0,4.730104
2023-05-10,30.0,4.642407
2023-05-10,60.0,4.737954
2023-05-11,30.0,4.648325
2023-05-11,60.0,4.742758
2023-05-12,30.0,4.647047
2023-05-12,60.0,4.741585
2023-05-15,30.0,4.652871
2023-05-15,60.0,4.746541
2023-05-16,30.0,4.658271
2023-05-16,60.0,4.751437
2023-05-17,30.0,4.661475
2023-05-17,60.0,4.754817
2023-05-18,30.0,4.662278
2023-05-18,60.0,4.756353
2023-05-19,30.0,4.661325
2023-05-19,60.0,4.756635
2023-05-22,30.0,4.663077
2023-05-22,60.0,4.759495
2023-05-23,30.0,4.666027
2023-05-23,60.0,4.763625
2023-05-24,30.0,4.670335
2023-05-24,60.0,4.769259
2023-05-25,30.0,4.677044
2023-05-25,60.0,4.77731
2023-05-26,30.0,4.678084
2023-05-26,60.0,4.780654
2023-05-30,30.0,4.689559
2023-05-30,60.0,4.793083
2023-05-31,30.0,4.702074
2023-05-31,60.0,4.806314
2023-06-01,30.0,4.712897
2023-06-01,60.0,4.817645
2023-06-02,30.0,4.718687
2023-06-02,60.0,4.824607
2023-06-05,30.0,4.725767
2023-06-05,60.0,4.832835
2023-06-06,30.0,4.734921
2023-06-06,60.0,4.84289
2023-06-07,30.0,4.742027
2023-06-07,60.0,4.851459
2023-06-08,30.0,4.746763
2023-06-08,60.0,4.858109
2023-06-09,30.0,4.750879
2023-06-09,60.0,4.864087
2023-06-12,30.0,4.758231
2023-06-12,60.0,4.872793
2023-06-13,30.0,4.768609
2023-06-13,60.0,4.884038
2023-06-14,30.0,4.774904
2023-06-14,60.0,4.892303
2023-06-15,30.0,4.781995
2023-06-15,60.0,4.90104
2023-06-16,30.0,4.781845
2023-06-16,60.0,4.903513
2023-06-20,30.0,4.784369
2023-06-20,60.0,4.907667
2023-06-21,30.0,4.787625
2023-06-21,60.0,4.911861
2023-06-22,30.0,4.792956
2023-06-22,60.0,4.917654
2023-06-23,30.0,4.793515
2023-06-23,60.0,4.918952
2023-06-26,30.0,4.796826
2023-06-26,60.0,4.92253
2023-06-27,30.0,4.803079
2023-06-27,60.0,4.928635
2023-06-28,30.0,4.810731
2023-06-28,60.0,4.936039
2023-06-29,30.0,4.818741
2023-06-29,60.0,4.943845
2023-06-30,30.0,4.820148
2023-06-30,60.0,4.945801
2023-07-03,30.0,4.821625
2023-07-03,60.0,4.947847
2023-07-05,30.0,4.824643
2023-07-05,60.0,4.95133
2023-07-06,30.0,4.830592
2023-07-06,60.0,4.957411
2023-07-07,30.0,4.834779
2023-07-07,60.0,4.961875
2023-07-10,30.0,4.841
2023-07-10,60.0,4.968007
2023-07-11,30.0,4.849404
2023-07-11,60.0,4.97607
2023-07-12,30.0,4.855126
2023-07-12,60.0,4.981361
2023-07-13,30.0,4.863314
2023-07-13,60.0,4.988701
2023-07-14,30.0,4.867848
2023-07-14,60.0,4.992954
2023-07-17,30.0,4.876476
2023-07-17,60.0,5.000832
2023-07-18,30.0,4.879883
2023-07-18,60.0,5.004262
2023-07-19,30.0,4.884338
2023-07-19,60.0,5.008712
2023-07-20,30.0,4.889351
2023-07-20,60.0,5.013695
2023-07-21,30.0,4.886106
2023-07-21,60.0,5.011442
2023-07-24,30.0,4.889447
2023-07-24,60.0,5.015121
2023-07-25,30.0,4.896197
2023-07-25,60.0,5.02178
2023-07-26,30.0,4.909246
2023-07-26,60.0,5.03399
2023-07-27,30.0,4.921638
2023-07-27,60.0,5.045543
2023-07-28,30.0,4.927684
2023-07-28,60.0,5.051534
2023-07-31,30.0,4.937264
2023-07-31,60.0,5.060599
2023-08-01,30.0,4.948325
2023-08-01,60.0,5.07101
2023-08-02,30.0,4.959709
2023-08-02,60.0,5.081846
2023-08-03,30.0,4.969107
2023-08-03,60.0,5.090979
2023-08-04,30.0,4.975608
2023-08-04,60.0,5.097451
2023-08-07,30.0,4.985506
2023-08-07,60.0,5.106895
2023-08-08,30.0,4.997681
2023-08-08,60.0,5.11822
2023-08-09,30.0,5.008498
2023-08-09,60.0,5.128137
2023-08-10,30.0,5.017689
2023-08-10,60.0,5.136663
2023-08-11,30.0,5.024904
2023-08-11,60.0,5.143378
2023-08-14,30.0,5.034338
2023-08-14,60.0,5.15219
2023-08-15,30.0,5.043453
2023-08-15,60.0,5.160771
2023-08-16,30.0,5.048234
2023-08-16,60.0,5.165644
2023-08-17,30.0,5.052337
2023-08-17,60.0,5.169787
2023-08-18,30.0,5.05458
2023-08-18,60.0,5.172208
2023-08-21,30.0,5.059611
2023-08-21,60.0,5.177113
2023-08-22,30.0,5.066439
2023-08-22,60.0,5.183589
2023-08-23,30.0,5.074593
2023-08-23,60.0,5.191041
2023-08-24,30.0,5.078749
2023-08-24,60.0,5.195008
2023-08-25,30.0,5.078099
2023-08-25,60.0,5.194864
2023-08-28,30.0,5.08582
2023-08-28,60.0,5.201996
2023-08-29,30.0,5.092201
2023-08-29,60.0,5.207962
2023-08-30,30.0,5.096438
2023-08-30,60.0,5.211974
2023-08-31,30.0,5.101282
2023-08-31,60.0,5.216204
2023-09-01,30.0,5.099343
2023-09-01,60.0,5.214534
2023-09-05,30.0,5.101339
2023-09-05,60.0,5.21641
2023-09-06,30.0,5.104279
2023-09-06,60.0,5.219091
2023-09-07,30.0,5.112619
2023-09-07,60.0,5.226446
2023-09-08,30.0,5.113617
2023-09-08,60.0,5.227503
2023-09-11,30.0,5.11961
2023-09-11,60.0,5.232894
2023-09-12,30.0,5.122494
2023-09-12,60.0,5.235594
2023-09-13,30.0,5.123545
2023-09-13,60.0,5.236825
2023-09-14,30.0,5.126462
2023-09-14,60.0,5.239513
2023-09-15,30.0,5.125718
2023-09-15,60.0,5.238962
2023-09-18,30.0,5.127293
2023-09-18,60.0,5.24031
2023-09-19,30.0,5.132657
2023-09-19,60.0,5.24479
2023-09-20,30.0,5.131762
2023-09-20,60.0,5.24371
2023-09-21,30.0,5.100269
2023-09-21,60.0,5.216555
2023-09-22,30.0,5.078643
2023-09-22,60.0,5.197706
2023-09-25,30.0,5.070007
2023-09-25,60.0,5.190107
2023-09-26,30.0,5.068685
2023-09-26,60.0,5.188862
2023-09-27,30.0,5.066244
2023-09-27,60.0,5.186463
